benchmark,metric,value,unit,notes
"Bench 1: BetaConfig","beta_config_per_call",24,ns/call,"1M iterations, β=0.3"
"Bench 1: BetaConfig","manual_inline_per_call",9,ns/call,"1M iterations, same formulas inline"
"Bench 1: BetaConfig","overhead",145.3,%,"struct + method dispatch overhead"
"Bench 1: BetaConfig","monotonicity",PASS,,"101 β values [0.00..1.00]"
"Bench 1: BetaConfig","correctness",PASS,,"β=0.3 derived == manual config"
"Bench 2: SVD","svd_8x8",935.401,µs/call,"top-4 components, 50 power iters"
"Bench 2: SVD","svd_16x8",1631.913,µs/call,"top-4 components, 50 power iters"
"Bench 2: SVD","svd_32x16",5619.530,µs/call,"top-4 components, 50 power iters"
"Bench 2: SVD","svd_64x32",20075.814,µs/call,"top-4 components, 50 power iters"
"Bench 2: KL","kl_size_10",279,ns/call,"100K calls"
"Bench 2: KL","kl_size_100",2157,ns/call,"100K calls"
"Bench 2: KL","kl_size_1000",21018,ns/call,"100K calls"
"Bench 2: KL","kl_size_10000",288561,ns/call,"100K calls"
"Bench 2: KL","kl_same_dist",0.00000000,,"KL(p||p) ≈ 0 ✅"
"Bench 2: KL","kl_peaked_vs_uniform",0.218012,,"KL > 0 for p≠q ✅"
"Bench 2: LoRA","lora_forward_softmax",23.233,µs/call,"rank=4, dim=48, 10K calls"
"Bench 3: Screening","screening_all_targets",23.327,µs/call,"6 targets, 10 steps, 100K calls"
"Bench 3: Screening","screening_top3",18.899,µs/call,"6 targets, 10 steps, 100K calls"
"Bench 3: Screening","screening_top1",18.408,µs/call,"6 targets, 10 steps, 100K calls"
"Bench 3: Screening","screening_savings_top3",50,%,"3 of 6 targets selected"
"Bench 3: Screening","screening_savings_top1",83,%,"1 of 6 targets selected"
"Bench 3: Screening","compress_analysis",2.185,µs/call,"100K calls"
"Bench 3: Screening","screening_4layers_24targets",76.770,µs/call,"top-6 of 24, 100K calls"
"Bench 3: Screening","screening_4layers_savings",75,%,"6 of 24 targets selected"
"Bench 3: Screening","correctness_q_in_top3",PASS,,"Q (highest grad) selected"
"Bench 3: Screening","correctness_mlp_skipped",PASS,,"MLP targets (low grad) skipped"
"Bench 4: Domain Latent","adamw_step",1.483,µs/step,"kv_dim=48, 100K steps"
"Bench 4: Domain Latent","adamw_throughput",674280,steps/sec,"kv_dim=48"
"Bench 4: Domain Latent","baseline_prediction",1.385,ms,"1000 samples, prediction only"
"Bench 4: Domain Latent","training_5epochs",22.219,ms,"5 epochs × 1000 samples"
"Bench 4: Domain Latent","training_per_epoch",4.444,ms,"1000 samples"
"Bench 4: Domain Latent","training_per_sample",4.443,µs,"forward + grad + AdamW"
"Bench 4: Domain Latent","loss_before",0.645868,,"baseline (untrained params)"
"Bench 4: Domain Latent","loss_after",0.001900,,"after 5 epochs AdamW"
"Bench 4: Domain Latent","loss_delta",-0.643969,,"convergence verified ✅"
"Bench 4: Domain Latent","adamw_overhead",68.8,%,"vs prediction-only baseline"
"Bench 4: Domain Latent","final_param_norm",1.553607,,"L2 norm of trained params"
"Bench 5: Pipeline","stage1_betaconfig",109.75,µs,"0.0% of total"
"Bench 5: Pipeline","stage2_screening",273264,µs,"10.0% of total"
"Bench 5: Pipeline","stage3_domain_latent",2434153,µs,"89.0% of total (bottleneck)"
"Bench 5: Pipeline","stage4_compress",27108,µs,"1.0% of total"
"Bench 5: Pipeline","total_per_pipeline",273.463,µs,"10K pipeline iterations"
"Bench 5: Pipeline","bottleneck","Domain Latent",,"Stage 3 dominates"
"Bench 5: Pipeline","vs_gpu_training",0.00063,%,"273µs CPU vs ~12h GPU"
